RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,Year,Stat ID
60,61,Hudson Swafford,73,.225,11.715,52,2018,02567
61,63,Rory Sabbatini,91,.217,16.252,75,2018,02567
62,64,C.T. Pan,104,.215,17.591,82,2018,02567
63,65,Sean O'Hair,67,.211,12.041,57,2018,02567
64,66,Robert Garrigus,80,.210,14.301,68,2018,02567
65,67,Scott Piercy,84,.209,14.209,68,2018,02567
66,68,Alex Noren,67,.208,10.169,49,2018,02567
67,69,Andrew Landry,82,.206,15.039,73,2018,02567
68,70,Harold Varner III,91,.204,15.079,74,2018,02567
69,71,Sam Ryder,82,.203,14.206,70,2018,02567
70,62,Hideki Matsuyama,75,.194,11.080,57,2018,02567
71,72,Brice Garnett,99,.188,15.240,81,2018,02567
72,73,Chez Reavie,93,.183,10.959,60,2018,02567
73,74,Brandon Harkins,101,.181,15.346,85,2018,02567
74,58,Jason Day,75,.176,8.641,49,2018,02567
75,75,J.J. Henry,81,.174,10.937,63,2018,02567
76,76,Nick Watney,94,.170,13.592,80,2018,02567
77,78,Branden Grace,67,.163,7.180,44,2018,02567
78,79,Tyrrell Hatton,58,.148,6.222,42,2018,02567
79,80,Chesson Hadley,103,.146,13.027,89,2018,02567
80,82,Ian Poulter,73,.141,7.059,50,2018,02567
81,83,Xinjun Zhang,81,.139,7.925,57,2018,02567
T82,84,Troy Merritt,89,.138,10.079,73,2018,02567
T82,77,Paul Casey,74,.138,6.745,49,2018,02567
84,85,Brian Harman,94,.137,9.848,72,2018,02567
85,86,Matt Atkins,56,.134,5.364,40,2018,02567
86,87,Peter Uihlein,83,.132,8.548,65,2018,02567
87,88,Graeme McDowell,67,.124,5.720,46,2018,02567
88,89,Austin Cook,107,.120,11.070,92,2018,02567
89,90,Conrad Shindler,60,.114,5.024,44,2018,02567
90,91,Steve Wheatcroft,60,.112,5.136,46,2018,02567
91,92,Nate Lashley,51,.111,3.898,35,2018,02567
92,93,Blayne Barber,69,.101,6.070,60,2018,02567
93,94,Daniel Berger,81,.100,6.178,62,2018,02567
94,95,Russell Henley,77,.093,5.379,58,2018,02567
95,96,Richy Werenski,98,.077,5.715,74,2018,02567
96,97,Seamus Power,86,.076,4.992,66,2018,02567
97,98,Adam Schenk,86,.073,4.785,66,2018,02567
98,99,Anirban Lahiri,82,.070,4.678,67,2018,02567
99,100,Ben Silverman,90,.069,5.229,76,2018,02567
100,106,Tiger Woods,68,.061,3.609,59,2018,02567
101,101,Russell Knox,94,.059,4.355,74,2018,02567
T102,T102,Adam Hadwin,92,.057,3.788,66,2018,02567
T102,T102,Stewart Cink,87,.057,3.831,67,2018,02567
104,81,Patrick Reed,94,.051,3.230,63,2018,02567
105,104,Nick Taylor,94,.049,3.594,74,2018,02567
106,105,Stephan Jaeger,81,.045,2.814,63,2018,02567
107,107,Satoshi Kodaira,51,.027,1.069,40,2018,02567
108,108,Tom Hoge,101,.018,1.475,83,2018,02567
T109,T109,Denny McCarthy,71,.011,.530,49,2018,02567
T109,T109,Ryan Blaum,81,.011,.797,72,2018,02567
111,111,David Lingmerth,82,.006,.396,69,2018,02567
112,112,Danny Lee,88,.005,.379,70,2018,02567
113,113,Vaughn Taylor,83,-.005,-.325,70,2018,02567
114,T115,Marc Leishman,93,-.006,-.449,73,2018,02567
115,114,Scott Stallings,96,-.008,-.634,80,2018,02567
116,T115,Ryan Armour,109,-.012,-1.117,96,2018,02567
117,117,Si Woo Kim,108,-.014,-1.112,78,2018,02567
118,118,Alex Cejka,77,-.024,-1.421,60,2018,02567
119,119,Charl Schwartzel,65,-.035,-1.464,42,2018,02567
120,120,Patrick Rodgers,97,-.039,-2.873,73,2018,02567
121,121,Chad Campbell,87,-.042,-2.787,67,2018,02567
122,122,Kevin Kisner,89,-.043,-2.785,65,2018,02567
123,123,Martin Laird,73,-.045,-2.739,61,2018,02567
124,124,Lanto Griffin,80,-.046,-2.743,60,2018,02567
125,125,Chris Kirk,108,-.048,-4.609,96,2018,02567
126,126,Ethan Tracy,72,-.054,-2.891,54,2018,02567
127,127,Zach Johnson,94,-.059,-4.241,72,2018,02567
128,128,Fabián Gómez,88,-.062,-4.404,71,2018,02567
129,129,Pat Perez,82,-.063,-3.215,51,2018,02567
130,130,Mackenzie Hughes,80,-.068,-4.641,68,2018,02567
131,131,Michael Thompson,62,-.073,-4.104,56,2018,02567
132,132,"Ted Potter, Jr.",87,-.074,-5.673,77,2018,02567
133,133,Zecheng Dou,53,-.079,-2.828,36,2018,02567
134,134,Shawn Stefani,76,-.093,-5.569,60,2018,02567
135,135,Rod Pampling,62,-.095,-4.279,45,2018,02567
136,T136,Martin Flores,92,-.097,-6.985,72,2018,02567
137,138,Jamie Lovemark,92,-.101,-7.874,78,2018,02567
138,140,John Huh,94,-.110,-9.044,82,2018,02567
139,141,Bud Cauley,55,-.113,-4.626,41,2018,02567
140,T136,Webb Simpson,95,-.116,-9.356,81,2018,02567
141,142,Brett Stegmaier,67,-.135,-6.367,47,2018,02567
142,143,Ben Martin,64,-.142,-8.091,57,2018,02567
143,144,Brandt Snedeker,84,-.145,-10.725,74,2018,02567
144,145,Andrew Putnam,97,-.146,-11.255,77,2018,02567
145,139,Cameron Smith,85,-.148,-9.006,61,2018,02567
146,146,Roberto Díaz,72,-.165,-9.257,56,2018,02567
147,147,Brian Gay,103,-.166,-15.270,92,2018,02567
148,148,David Hearn,66,-.170,-8.515,50,2018,02567
149,149,Bill Haas,76,-.177,-11.693,66,2018,02567
150,151,Matt Kuchar,88,-.199,-12.949,65,2018,02567
151,152,Cody Gribble,71,-.212,-11.472,54,2018,02567
152,153,Johnson Wagner,75,-.213,-11.712,55,2018,02567
153,154,Harris English,84,-.219,-14.923,68,2018,02567
154,150,Phil Mickelson,90,-.225,-15.742,70,2018,02567
155,155,Brian Stuard,103,-.227,-19.968,88,2018,02567
156,156,Dominic Bozzelli,65,-.244,-14.859,61,2018,02567
157,157,Martin Piller,79,-.248,-16.645,67,2018,02567
158,158,Nicholas Lindheim,77,-.258,-15.194,59,2018,02567
159,159,Scott Brown,102,-.265,-21.470,81,2018,02567
160,160,Jonathan Randolph,71,-.271,-16.272,60,2018,02567
161,161,Chris Stroud,81,-.277,-16.089,58,2018,02567
162,163,Kelly Kraft,94,-.286,-21.172,74,2018,02567
163,162,Patton Kizzire,92,-.294,-22.952,78,2018,02567
164,164,Ben Crane,65,-.302,-13.895,46,2018,02567
165,165,William McGirt,84,-.306,-22.937,75,2018,02567
166,166,Talor Gooch,78,-.322,-19.985,62,2018,02567
T167,T167,Aaron Baddeley,84,-.345,-24.141,70,2018,02567
T167,T167,Zac Blair,64,-.345,-15.889,46,2018,02567
169,170,Peter Malnati,87,-.372,-27.889,75,2018,02567
170,169,Kevin Na,91,-.378,-26.485,70,2018,02567
T171,T171,Jim Furyk,50,-.392,-18.015,46,2018,02567
T171,T171,Retief Goosen,60,-.392,-15.667,40,2018,02567
173,173,Ollie Schniederjans,91,-.410,-31.589,77,2018,02567
174,174,Jonas Blixt,67,-.424,-20.344,48,2018,02567
T175,T175,Jimmy Walker,81,-.437,-28.872,66,2018,02567
T175,T175,Matt Every,79,-.437,-26.654,61,2018,02567
177,177,Andrew Yun,51,-.457,-15.540,34,2018,02567
178,178,Sung Kang,89,-.488,-32.695,67,2018,02567
179,179,Tyrone Van Aswegen,101,-.493,-40.886,83,2018,02567
180,180,Kyle Thompson,50,-.534,-19.224,36,2018,02567
181,181,Jonathan Byrd,70,-.542,-26.025,48,2018,02567
182,182,Rob Oppenheim,74,-.662,-35.726,54,2018,02567
183,183,Robert Streb,78,-.680,-40.825,60,2018,02567
184,184,Greg Chalmers,56,-.690,-28.270,41,2018,02567
185,185,Billy Hurley III,70,-.696,-39.674,57,2018,02567
186,186,Whee Kim,93,-.748,-54.597,73,2018,02567
187,187,Derek Fathauer,84,-.757,-51.498,68,2018,02567
188,188,Daniel Summerhays,51,-.977,-37.127,38,2018,02567
189,189,Ricky Barnes,65,-1.019,-45.876,45,2018,02567
190,190,Michael Kim,74,-1.023,-55.221,54,2018,02567
191,191,D.A. Points,63,-1.069,-51.307,48,2018,02567
192,192,Cameron Tringale,67,-1.351,-68.917,51,2018,02567
193,193,Wesley Bryan,69,-1.443,-73.579,51,2018,02567
