RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
1,1,Corey Conners,90,73.06,"1,131","1,548",-0.25,2019,103
2,2,Johnson Wagner,64,71.55,747,"1,044",-0.29,2019,103
3,3,Alex Prugh,77,71.44,913,"1,278",-0.25,2019,103
4,6,Paul Casey,79,70.96,958,"1,350",-0.30,2019,103
5,7,Jason Dufner,74,70.76,917,"1,296",-0.24,2019,103
6,5,Justin Thomas,75,70.68,916,"1,296",-0.34,2019,103
7,4,Charles Howell III,94,70.51,"1,155","1,638",-0.29,2019,103
8,8,Josh Teater,73,70.48,850,"1,206",-0.27,2019,103
9,10,Scott Piercy,90,70.09,"1,085","1,548",-0.29,2019,103
10,12,Brendan Steele,68,69.98,781,"1,116",-0.24,2019,103
11,11,Brooks Koepka,81,69.97,932,"1,332",-0.32,2019,103
T12,T13,Talor Gooch,54,69.96,680,972,-0.29,2019,103
T12,T13,Shawn Stefani,80,69.96,957,"1,368",-0.27,2019,103
14,15,Martin Laird,88,69.86,"1,006","1,440",-0.27,2019,103
15,16,Kevin Streelman,83,69.75,"1,017","1,458",-0.26,2019,103
16,18,Jason Day,69,69.70,803,"1,152",-0.30,2019,103
17,19,Cameron Tringale,73,69.66,815,"1,170",-0.29,2019,103
18,20,Brice Garnett,87,69.54,"1,064","1,530",-0.28,2019,103
19,21,Adam Svensson,73,69.40,837,"1,206",-0.26,2019,103
T20,9,Matt Kuchar,87,69.38,999,"1,440",-0.30,2019,103
T20,17,Hideki Matsuyama,91,69.38,"1,099","1,584",-0.30,2019,103
22,22,Cameron Champ,78,69.30,948,"1,368",-0.29,2019,103
23,23,Jhonattan Vegas,75,69.29,898,"1,296",-0.30,2019,103
24,24,Jim Furyk,73,69.28,848,"1,224",-0.24,2019,103
25,26,Hank Lebioda,76,69.21,872,"1,260",-0.27,2019,103
T26,T28,Sepp Straka,78,69.06,895,"1,296",-0.30,2019,103
T26,T28,Russell Knox,79,69.06,895,"1,296",-0.25,2019,103
28,25,Gary Woodland,87,69.05,"1,044","1,512",-0.33,2019,103
29,27,Jon Rahm,75,69.04,845,"1,224",-0.33,2019,103
30,43,Adam Scott,63,68.94,757,"1,098",-0.31,2019,103
31,31,Troy Merritt,69,68.85,756,"1,098",-0.32,2019,103
32,T37,Jason Kokrak,94,68.77,"1,114","1,620",-0.30,2019,103
33,32,Cameron Davis,76,68.75,891,"1,296",-0.29,2019,103
34,33,Emiliano Grillo,85,68.73,965,"1,404",-0.27,2019,103
35,34,John Chin,58,68.72,668,972,-0.24,2019,103
T36,T35,Adam Schenk,102,68.61,"1,235","1,800",-0.30,2019,103
T36,T35,Nick Watney,87,68.61,"1,025","1,494",-0.29,2019,103
38,T37,Aaron Wise,72,68.60,852,"1,242",-0.33,2019,103
39,40,Rory McIlroy,72,68.55,839,"1,224",-0.37,2019,103
40,39,Keegan Bradley,89,68.50,"1,011","1,476",-0.26,2019,103
41,41,Tyler Duncan,89,68.47,"1,023","1,494",-0.25,2019,103
42,42,Roberto Castro,76,68.44,887,"1,296",-0.26,2019,103
43,48,Xander Schauffele,77,68.39,911,"1,332",-0.32,2019,103
44,44,J.J. Spaun,90,68.36,"1,009","1,476",-0.27,2019,103
45,45,Ryan Palmer,74,68.35,812,"1,188",-0.30,2019,103
46,46,Hunter Mahan,59,68.27,725,"1,062",-0.28,2019,103
47,47,Sebastián Muñoz,86,68.26,983,"1,440",-0.30,2019,103
48,49,Dylan Frittelli,83,68.24,995,"1,458",-0.26,2019,103
49,51,Ryan Moore,74,68.17,908,"1,332",-0.30,2019,103
50,30,Lucas Glover,94,68.15,"1,104","1,620",-0.29,2019,103
T51,T52,Fabián Gómez,62,68.10,760,"1,116",-0.26,2019,103
T51,T52,Russell Henley,78,68.10,858,"1,260",-0.25,2019,103
53,54,Joaquin Niemann,98,68.06,"1,176","1,728",-0.28,2019,103
T54,T56,Sam Ryder,76,67.98,881,"1,296",-0.30,2019,103
T54,T56,Bronson Burgoon,59,67.98,673,990,-0.27,2019,103
56,58,Chase Wright,75,67.95,844,"1,242",-0.29,2019,103
57,59,Chez Reavie,99,67.93,"1,125","1,656",-0.30,2019,103
58,60,Carlos Ortiz,84,67.82,"1,001","1,476",-0.27,2019,103
59,50,Rickie Fowler,76,67.76,927,"1,368",-0.32,2019,103
60,62,Byeong Hun An,80,67.75,939,"1,386",-0.29,2019,103
T61,T63,Jim Knous,57,67.71,646,954,-0.25,2019,103
T61,T63,Anders Albertson,68,67.71,780,"1,152",-0.24,2019,103
63,65,Brandon Harkins,91,67.67,"1,011","1,494",-0.29,2019,103
64,66,Kyoung-Hoon Lee,92,67.66,"1,023","1,512",-0.26,2019,103
65,68,Wes Roach,69,67.64,767,"1,134",-0.28,2019,103
66,69,Billy Horschel,99,67.63,"1,120","1,656",-0.28,2019,103
67,55,Sungjae Im,122,67.61,"1,436","2,124",-0.31,2019,103
68,T70,Ryan Armour,92,67.57,"1,119","1,656",-0.26,2019,103
69,72,Adam Hadwin,86,67.55,997,"1,476",-0.30,2019,103
70,73,Trey Mullinax,77,67.50,887,"1,314",-0.28,2019,103
71,74,David Hearn,55,67.49,571,846,-0.27,2019,103
72,T75,Nate Lashley,70,67.48,826,"1,224",-0.30,2019,103
73,77,Kyle Stanley,81,67.47,923,"1,368",-0.26,2019,103
74,T70,Tony Finau,89,67.46,"1,020","1,512",-0.30,2019,103
75,T79,Keith Mitchell,86,67.34,"1,006","1,494",-0.30,2019,103
76,81,Nick Taylor,97,67.26,"1,126","1,674",-0.29,2019,103
T77,T75,Marc Leishman,76,67.21,871,"1,296",-0.30,2019,103
T77,67,Patrick Cantlay,77,67.21,871,"1,296",-0.34,2019,103
T77,T82,Harold Varner III,84,67.21,992,"1,476",-0.28,2019,103
T77,T82,Bud Cauley,82,67.21,992,"1,476",-0.31,2019,103
81,85,Andrew Landry,80,67.12,894,"1,332",-0.27,2019,103
82,86,Kramer Hickok,79,67.10,930,"1,386",-0.26,2019,103
83,87,Kevin Tway,84,67.01,965,"1,440",-0.27,2019,103
84,88,Beau Hossler,87,67.00,"1,001","1,494",-0.30,2019,103
85,T79,Kevin Kisner,97,66.99,"1,037","1,548",-0.28,2019,103
86,61,Dustin Johnson,73,66.98,844,"1,260",-0.32,2019,103
87,89,Tommy Fleetwood,71,66.93,771,"1,152",-0.27,2019,103
88,90,Dominic Bozzelli,73,66.92,807,"1,206",-0.33,2019,103
89,91,Rory Sabbatini,97,66.91,"1,120","1,674",-0.30,2019,103
90,92,Ian Poulter,65,66.86,698,"1,044",-0.30,2019,103
T91,T93,Vaughn Taylor,93,66.85,"1,095","1,638",-0.32,2019,103
T91,T93,Harris English,97,66.85,"1,095","1,638",-0.28,2019,103
T93,95,J.T. Poston,100,66.84,"1,155","1,728",-0.29,2019,103
T93,78,Louis Oosthuizen,71,66.84,770,"1,152",-0.29,2019,103
95,96,Seth Reeves,73,66.83,806,"1,206",-0.27,2019,103
96,84,Abraham Ancer,93,66.79,"1,058","1,584",-0.29,2019,103
T97,T97,Hudson Swafford,59,66.76,685,"1,026",-0.30,2019,103
T97,T97,Bubba Watson,65,66.76,697,"1,044",-0.27,2019,103
T99,T99,Danny Lee,83,66.74,973,"1,458",-0.28,2019,103
T99,T99,Scott Stallings,82,66.74,937,"1,404",-0.28,2019,103
101,101,Joel Dahmen,100,66.72,"1,153","1,728",-0.29,2019,103
102,T102,J.J. Henry,58,66.67,624,936,-0.17,2019,103
103,T104,Matt Jones,88,66.60,"1,007","1,512",-0.29,2019,103
104,106,Roberto Díaz,73,66.58,779,"1,170",-0.28,2019,103
105,107,Scott Brown,86,66.53,982,"1,476",-0.27,2019,103
106,108,Charley Hoffman,74,66.51,838,"1,260",-0.27,2019,103
107,109,Ben Silverman,70,66.50,814,"1,224",-0.25,2019,103
108,110,Joey Garber,63,66.37,681,"1,026",-0.25,2019,103
