RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,Year,Stat ID
1,2,Martin Flores,88,70.64,"1,030","1,458",-0.25,2017,103
2,1,Kyle Stanley,104,70.39,"1,267","1,800",-0.26,2017,103
3,T4,Paul Casey,94,70.06,"1,135","1,620",-0.27,2017,103
4,3,Jordan Spieth,85,70.01,983,"1,404",-0.34,2017,103
5,T4,Ryan Armour,63,69.96,743,"1,062",-0.23,2017,103
6,6,Lucas Glover,93,69.94,"1,133","1,620",-0.27,2017,103
7,7,Cameron Percy,71,69.91,818,"1,170",-0.23,2017,103
8,15,Sergio Garcia,65,69.62,777,"1,116",-0.26,2017,103
T9,11,Dustin Johnson,77,69.52,876,"1,260",-0.30,2017,103
T9,9,Robert Garrigus,78,69.52,901,"1,296",-0.28,2017,103
11,8,Gary Woodland,94,69.48,"1,113","1,602",-0.25,2017,103
12,10,J.J. Henry,92,69.44,"1,075","1,548",-0.21,2017,103
13,17,Patrick Cantlay,52,69.21,598,864,-0.29,2017,103
14,13,Luke List,102,69.10,"1,219","1,764",-0.29,2017,103
15,14,Chad Campbell,97,69.07,"1,206","1,746",-0.24,2017,103
16,12,Hideki Matsuyama,83,69.01,944,"1,368",-0.32,2017,103
17,16,Tony Finau,106,68.96,"1,291","1,872",-0.30,2017,103
18,18,Stewart Cink,93,68.76,"1,151","1,674",-0.28,2017,103
19,19,Boo Weekley,75,68.65,902,"1,314",-0.22,2017,103
20,20,Keegan Bradley,104,68.63,"1,260","1,836",-0.27,2017,103
21,24,Jon Rahm,90,68.61,"1,025","1,494",-0.29,2017,103
22,21,Graham DeLaet,82,68.57,938,"1,368",-0.27,2017,103
23,22,Hudson Swafford,94,68.21,"1,105","1,620",-0.27,2017,103
24,23,Jim Herman,77,68.07,919,"1,350",-0.25,2017,103
25,25,Justin Rose,66,68.06,784,"1,152",-0.29,2017,103
26,29,Xander Schauffele,96,68.00,"1,126","1,656",-0.29,2017,103
27,26,Bill Haas,92,67.91,"1,039","1,530",-0.24,2017,103
T28,T27,Billy Horschel,88,67.89,"1,051","1,548",-0.23,2017,103
T28,T27,Scott Stallings,81,67.89,941,"1,386",-0.25,2017,103
30,30,Russell Henley,99,67.81,"1,184","1,746",-0.28,2017,103
31,31,Andres Gonzales,73,67.71,841,"1,242",-0.26,2017,103
32,32,Harold Varner III,101,67.68,"1,206","1,782",-0.25,2017,103
33,34,Blayne Barber,77,67.61,864,"1,278",-0.27,2017,103
34,35,Shane Lowry,52,67.57,596,882,-0.27,2017,103
35,36,Shawn Stefani,72,67.48,826,"1,224",-0.24,2017,103
36,38,Richy Werenski,81,67.42,898,"1,332",-0.25,2017,103
37,39,Ryan Brehm,83,67.39,934,"1,386",-0.25,2017,103
38,40,Bud Cauley,92,67.36,"1,067","1,584",-0.27,2017,103
39,41,Rory Sabbatini,71,67.35,788,"1,170",-0.28,2017,103
40,T42,Chez Reavie,98,67.31,"1,151","1,710",-0.27,2017,103
41,44,Francesco Molinari,75,67.28,872,"1,296",-0.27,2017,103
42,45,Brendan Steele,89,67.26,"1,017","1,512",-0.28,2017,103
43,46,C.T. Pan,88,67.25,"1,041","1,548",-0.22,2017,103
44,T42,Jason Dufner,89,67.21,992,"1,476",-0.27,2017,103
45,47,William McGirt,89,67.20,"1,004","1,494",-0.23,2017,103
46,55,Justin Thomas,86,67.16,955,"1,422",-0.36,2017,103
47,48,J.J. Spaun,92,67.12,"1,039","1,548",-0.26,2017,103
48,49,Brandt Snedeker,53,67.11,604,900,-0.28,2017,103
49,50,Adam Scott,58,67.05,700,"1,044",-0.27,2017,103
50,37,Marc Leishman,94,67.04,"1,086","1,620",-0.29,2017,103
51,33,Rickie Fowler,78,67.03,917,"1,368",-0.32,2017,103
T52,T51,Trey Mullinax,88,67.01,989,"1,476",-0.28,2017,103
T52,T51,Charles Howell III,86,67.01,989,"1,476",-0.27,2017,103
54,T53,Emiliano Grillo,90,66.99,"1,049","1,566",-0.26,2017,103
55,56,Johnson Wagner,71,66.93,759,"1,134",-0.24,2017,103
56,57,Rick Lamb,54,66.89,602,900,-0.26,2017,103
57,59,D.A. Points,68,66.83,818,"1,224",-0.24,2017,103
58,60,Jason Kokrak,95,66.78,"1,142","1,710",-0.26,2017,103
T59,T61,Scott Piercy,70,66.75,805,"1,206",-0.28,2017,103
T59,T61,Julián Etulain,68,66.75,757,"1,134",-0.24,2017,103
61,63,Brett Stegmaier,78,66.74,913,"1,368",-0.24,2017,103
T62,64,Chris Kirk,89,66.73,997,"1,494",-0.28,2017,103
T62,T65,Matt Kuchar,95,66.73,"1,105","1,656",-0.26,2017,103
T64,T65,Vaughn Taylor,90,66.67,"1,008","1,512",-0.27,2017,103
T64,T65,Daniel Berger,91,66.67,"1,032","1,548",-0.29,2017,103
T64,T65,Kevin Streelman,90,66.67,"1,056","1,584",-0.25,2017,103
67,T53,Charley Hoffman,112,66.62,"1,295","1,944",-0.30,2017,103
68,70,Ben Martin,86,66.60,947,"1,422",-0.25,2017,103
69,71,Russell Knox,75,66.59,839,"1,260",-0.25,2017,103
70,72,Ryan Palmer,61,66.46,634,954,-0.21,2017,103
71,73,Alex Cejka,85,66.45,921,"1,386",-0.22,2017,103
72,T74,Nick Watney,75,66.43,825,"1,242",-0.24,2017,103
T73,T76,Branden Grace,70,66.40,753,"1,134",-0.23,2017,103
T73,T76,Sean O'Hair,84,66.40,"1,004","1,512",-0.26,2017,103
T75,78,Tyrone Van Aswegen,105,66.38,"1,159","1,746",-0.24,2017,103
T75,T74,Kevin Kisner,105,66.38,"1,171","1,764",-0.25,2017,103
77,80,Chris Stroud,67,66.20,703,"1,062",-0.26,2017,103
78,58,Pat Perez,93,66.17,"1,072","1,620",-0.29,2017,103
79,81,Nick Taylor,97,66.14,"1,131","1,710",-0.24,2017,103
80,82,Jim Furyk,54,66.12,607,918,-0.23,2017,103
81,83,Danny Lee,93,66.10,"1,059","1,602",-0.28,2017,103
T82,T84,Jamie Lovemark,98,66.09,"1,142","1,728",-0.28,2017,103
T82,T84,James Hahn,96,66.09,"1,142","1,728",-0.25,2017,103
84,86,Sung Kang,104,66.07,"1,213","1,836",-0.28,2017,103
85,87,Tom Hoge,54,66.06,547,828,-0.28,2017,103
86,88,Ollie Schniederjans,92,66.03,"1,034","1,566",-0.28,2017,103
87,89,Kyle Reifers,96,65.97,"1,045","1,584",-0.22,2017,103
88,90,Jhonattan Vegas,95,65.93,"1,068","1,620",-0.26,2017,103
89,91,Tag Ridings,67,65.91,700,"1,062",-0.29,2017,103
90,92,Martin Laird,83,65.86,984,"1,494",-0.27,2017,103
91,93,Patrick Rodgers,76,65.84,877,"1,332",-0.22,2017,103
92,94,John Huh,92,65.78,"1,042","1,584",-0.24,2017,103
T93,T95,Michael Kim,94,65.68,"1,064","1,620",-0.27,2017,103
T93,T95,Ben Crane,86,65.68,934,"1,422",-0.24,2017,103
95,97,Nicholas Lindheim,58,65.67,662,"1,008",-0.25,2017,103
T96,T98,Rory McIlroy,51,65.63,567,864,-0.28,2017,103
T96,T98,Seamus Power,86,65.63,945,"1,440",-0.28,2017,103
98,101,Mark Anderson,54,65.60,614,936,-0.24,2017,103
99,102,Seung-Yul Noh,91,65.58,"1,027","1,566",-0.27,2017,103
100,103,Spencer Levin,89,65.56,"1,003","1,530",-0.22,2017,103
101,104,J.T. Poston,95,65.52,"1,026","1,566",-0.30,2017,103
T102,T105,Geoff Ogilvy,80,65.51,849,"1,296",-0.23,2017,103
T102,T105,Kevin Na,86,65.51,967,"1,476",-0.28,2017,103
104,110,Webb Simpson,102,65.49,"1,167","1,782",-0.27,2017,103
105,107,Bryson DeChambeau,91,65.48,"1,049","1,602",-0.26,2017,103
106,109,Mark Hubbard,81,65.39,871,"1,332",-0.23,2017,103
107,111,Ryan Blaum,100,65.28,"1,128","1,728",-0.27,2017,103
108,112,Smylie Kaufman,76,65.26,834,"1,278",-0.28,2017,103
109,T98,Kevin Chappell,95,65.25,"1,057","1,620",-0.28,2017,103
110,113,Sam Saunders,76,65.24,822,"1,260",-0.28,2017,103
111,114,Louis Oosthuizen,69,65.23,728,"1,116",-0.25,2017,103
112,115,Robert Streb,98,65.19,"1,103","1,692",-0.26,2017,103
113,116,Steven Alker,69,65.17,739,"1,134",-0.24,2017,103
114,108,Adam Hadwin,98,65.08,"1,148","1,764",-0.28,2017,103
115,117,Ryan Moore,82,65.05,925,"1,422",-0.28,2017,103
116,118,Miguel Angel Carballo,63,64.91,666,"1,026",-0.25,2017,103
117,119,Troy Merritt,82,64.84,887,"1,368",-0.26,2017,103
118,120,Brett Drewitt,57,64.78,618,954,-0.22,2017,103
119,121,Mackenzie Hughes,106,64.74,"1,212","1,872",-0.26,2017,103
T120,T122,David Hearn,93,64.71,990,"1,530",-0.24,2017,103
T120,T122,Kevin Tway,96,64.71,"1,025","1,584",-0.28,2017,103
122,124,Zac Blair,105,64.70,"1,153","1,782",-0.24,2017,103
123,125,Fabián Gómez,61,64.69,687,"1,062",-0.25,2017,103
124,126,Hunter Mahan,73,64.55,825,"1,278",-0.23,2017,103
125,127,Brandon Hagy,85,64.50,894,"1,386",-0.28,2017,103
126,129,Ian Poulter,72,64.46,789,"1,224",-0.25,2017,103
127,130,Cameron Tringale,89,64.39,962,"1,494",-0.26,2017,103
128,131,Scott Brown,95,64.35,"1,054","1,638",-0.27,2017,103
T129,T132,Brad Fritsch,56,64.21,601,936,-0.23,2017,103
T129,T132,Zach Johnson,81,64.21,890,"1,386",-0.27,2017,103
131,134,Byeong Hun An,77,64.04,830,"1,296",-0.25,2017,103
132,135,Rod Pampling,71,64.01,818,"1,278",-0.21,2017,103
133,136,Tim Wilkinson,64,63.98,668,"1,044",-0.27,2017,103
134,137,Harris English,84,63.96,875,"1,368",-0.26,2017,103
135,138,Grayson Murray,94,63.95,"1,036","1,620",-0.30,2017,103
136,139,Retief Goosen,52,63.89,529,828,-0.25,2017,103
137,128,Brian Harman,104,63.78,"1,148","1,800",-0.29,2017,103
138,140,Roberto Castro,70,63.73,780,"1,224",-0.20,2017,103
