RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
41,40,Martin Laird,73,.209,12.751,61,2018,02569
42,43,Jonas Blixt,67,.196,9.412,48,2018,02569
T43,T44,Ryan Armour,109,.194,18.623,96,2018,02569
T43,T44,William McGirt,84,.194,14.532,75,2018,02569
45,46,Matt Jones,70,.192,9.018,47,2018,02569
46,47,Chris Kirk,108,.190,18.204,96,2018,02569
T47,T48,Tyrone Van Aswegen,101,.187,15.543,83,2018,02569
T47,T48,Andrew Putnam,97,.187,14.377,77,2018,02569
T49,T50,Jordan Spieth,81,.184,12.114,66,2018,02569
T49,T50,Ben Crane,65,.184,8.461,46,2018,02569
51,52,Austin Cook,107,.179,16.464,92,2018,02569
52,54,Jon Rahm,71,.176,8.970,51,2018,02569
53,55,Stephan Jaeger,81,.175,11.050,63,2018,02569
54,56,Byeong Hun An,86,.167,12.222,73,2018,02569
55,57,Jimmy Walker,81,.166,10.954,66,2018,02569
56,T58,Brooks Koepka,64,.162,8.761,54,2018,02569
57,T58,Peter Uihlein,83,.156,10.149,65,2018,02569
58,60,Russell Knox,94,.149,11.037,74,2018,02569
59,53,Patrick Cantlay,87,.146,9.770,67,2018,02569
60,41,Hideki Matsuyama,75,.143,8.151,57,2018,02569
61,61,Billy Hurley III,70,.139,7.931,57,2018,02569
62,62,Kiradech Aphibarnrat,51,.135,4.589,34,2018,02569
63,63,Dominic Bozzelli,65,.133,8.095,61,2018,02569
T64,T64,Branden Grace,67,.125,5.505,44,2018,02569
T64,T64,Adam Scott,78,.125,7.520,60,2018,02569
66,66,Anirban Lahiri,82,.120,8.053,67,2018,02569
67,68,Harris English,84,.111,7.539,68,2018,02569
68,T73,Paul Casey,74,.109,5.328,49,2018,02569
69,69,"Ted Potter, Jr.",87,.105,8.062,77,2018,02569
70,70,Scott Piercy,84,.097,6.613,68,2018,02569
71,71,Rafa Cabrera Bello,75,.096,4.603,48,2018,02569
72,72,Charles Howell III,104,.095,7.385,78,2018,02569
73,78,Phil Mickelson,90,.091,6.360,70,2018,02569
74,T73,Cameron Tringale,67,.088,4.506,51,2018,02569
75,75,Robert Streb,78,.084,5.067,60,2018,02569
76,76,Nate Lashley,51,.080,2.808,35,2018,02569
77,77,Richy Werenski,98,.077,5.719,74,2018,02569
78,67,Bryson DeChambeau,93,.070,5.427,78,2018,02569
79,80,C.T. Pan,104,.063,5.141,82,2018,02569
80,81,Stewart Cink,87,.055,3.662,67,2018,02569
81,82,Talor Gooch,78,.053,3.293,62,2018,02569
T82,T83,Danny Lee,88,.051,3.557,70,2018,02569
T82,T83,D.A. Points,63,.051,2.466,48,2018,02569
T82,T83,Ian Poulter,73,.051,2.538,50,2018,02569
T85,T86,Rob Oppenheim,74,.050,2.679,54,2018,02569
T85,T86,Michael Thompson,62,.050,2.810,56,2018,02569
87,88,Graeme McDowell,67,.049,2.239,46,2018,02569
88,92,Aaron Wise,90,.042,3.340,80,2018,02569
89,89,Pat Perez,82,.037,1.901,51,2018,02569
90,90,Patrick Rodgers,97,.034,2.498,73,2018,02569
91,91,J.B. Holmes,77,.032,2.156,68,2018,02569
92,93,James Hahn,85,.028,1.921,69,2018,02569
T93,94,Brian Stuard,103,.026,2.300,88,2018,02569
T93,79,Keegan Bradley,98,.026,2.041,80,2018,02569
95,95,Chad Campbell,87,.023,1.522,67,2018,02569
96,96,Harold Varner III,91,.021,1.591,74,2018,02569
97,97,Nick Taylor,94,.017,1.282,74,2018,02569
98,98,Kevin Streelman,94,.014,1.167,82,2018,02569
T99,T99,Shawn Stefani,76,.013,.809,60,2018,02569
T99,T99,Beau Hossler,104,.013,1.172,90,2018,02569
101,101,Ryan Blaum,81,.005,.371,72,2018,02569
102,102,Vaughn Taylor,83,-.002,-.115,70,2018,02569
103,103,Seamus Power,86,-.003,-.215,66,2018,02569
104,104,Joel Dahmen,93,-.004,-.316,71,2018,02569
105,105,J.T. Poston,73,-.005,-.267,57,2018,02569
106,106,Lucas Glover,65,-.008,-.374,46,2018,02569
107,107,Kyle Thompson,50,-.014,-.502,36,2018,02569
108,108,Grayson Murray,72,-.015,-.866,59,2018,02569
109,109,Denny McCarthy,71,-.019,-.922,49,2018,02569
110,110,Abraham Ancer,98,-.022,-1.847,83,2018,02569
111,111,Scott Stallings,96,-.025,-1.974,80,2018,02569
112,112,Kevin Tway,110,-.026,-2.332,90,2018,02569
T113,118,Kyle Stanley,93,-.027,-1.798,67,2018,02569
T113,T113,Michael Kim,74,-.027,-1.474,54,2018,02569
T113,T113,Matt Atkins,56,-.027,-1.081,40,2018,02569
T113,119,Xander Schauffele,96,-.027,-1.973,72,2018,02569
T113,T113,Henrik Stenson,60,-.027,-1.195,44,2018,02569
118,116,Alex Noren,67,-.029,-1.414,49,2018,02569
119,117,Fabián Gómez,88,-.030,-2.098,71,2018,02569
120,120,John Huh,94,-.047,-3.820,82,2018,02569
121,121,Derek Fathauer,84,-.048,-3.233,68,2018,02569
T122,T122,Shane Lowry,64,-.052,-2.666,51,2018,02569
T122,T122,Nicholas Lindheim,77,-.052,-3.066,59,2018,02569
124,124,Chris Stroud,81,-.058,-3.379,58,2018,02569
125,125,Charley Hoffman,87,-.071,-4.856,68,2018,02569
T126,T126,Charl Schwartzel,65,-.073,-3.057,42,2018,02569
T126,T126,Blayne Barber,69,-.073,-4.402,60,2018,02569
128,128,Tom Hoge,101,-.079,-6.555,83,2018,02569
129,129,David Lingmerth,82,-.081,-5.572,69,2018,02569
130,130,Retief Goosen,60,-.083,-3.317,40,2018,02569
131,131,Lanto Griffin,80,-.084,-5.042,60,2018,02569
132,132,Adam Schenk,86,-.091,-5.985,66,2018,02569
T133,T133,Troy Merritt,89,-.092,-6.697,73,2018,02569
T133,T133,Keith Mitchell,99,-.092,-7.613,83,2018,02569
T135,T135,Ben Martin,64,-.096,-5.461,57,2018,02569
T135,T135,Brian Harman,94,-.096,-6.902,72,2018,02569
137,137,Martin Flores,92,-.098,-7.058,72,2018,02569
138,138,Sam Ryder,82,-.099,-6.934,70,2018,02569
139,139,Jason Kokrak,99,-.101,-8.871,88,2018,02569
140,140,Chesson Hadley,103,-.102,-9.075,89,2018,02569
141,141,Cody Gribble,71,-.111,-6.010,54,2018,02569
142,142,David Hearn,66,-.113,-5.653,50,2018,02569
143,143,Kevin Kisner,89,-.118,-7.645,65,2018,02569
T144,T144,Emiliano Grillo,94,-.122,-8.920,73,2018,02569
T144,T144,Mackenzie Hughes,80,-.122,-8.310,68,2018,02569
T146,T146,Brandon Harkins,101,-.124,-10.579,85,2018,02569
T146,T146,Jhonattan Vegas,92,-.124,-7.905,64,2018,02569
148,148,Kelly Kraft,94,-.126,-9.327,74,2018,02569
149,149,Ben Silverman,90,-.128,-9.701,76,2018,02569
150,150,Chez Reavie,93,-.137,-8.242,60,2018,02569
T151,T151,J.J. Henry,81,-.138,-8.669,63,2018,02569
T151,T151,Sam Saunders,80,-.138,-9.220,67,2018,02569
153,153,Daniel Berger,81,-.145,-8.988,62,2018,02569
154,154,Whee Kim,93,-.146,-10.664,73,2018,02569
155,T160,Patton Kizzire,92,-.150,-11.716,78,2018,02569
156,156,Andrew Landry,82,-.152,-11.076,73,2018,02569
157,158,Rod Pampling,62,-.163,-7.317,45,2018,02569
158,159,Sean O'Hair,67,-.164,-9.359,57,2018,02569
159,T160,Tyler Duncan,97,-.166,-13.446,81,2018,02569
160,162,Nick Watney,94,-.167,-13.397,80,2018,02569
161,157,Billy Horschel,86,-.169,-13.037,77,2018,02569
T162,T163,Ryan Palmer,69,-.174,-10.417,60,2018,02569
T162,T163,Greg Chalmers,56,-.174,-7.128,41,2018,02569
164,165,Scott Brown,102,-.175,-14.172,81,2018,02569
165,166,Jason Dufner,71,-.178,-9.280,52,2018,02569
T166,T167,Xinjun Zhang,81,-.182,-10.370,57,2018,02569
T166,T167,Jonathan Randolph,71,-.182,-10.942,60,2018,02569
T168,T169,Martin Piller,79,-.186,-12.471,67,2018,02569
T168,T169,Russell Henley,77,-.186,-10.764,58,2018,02569
T168,T169,Robert Garrigus,80,-.186,-12.617,68,2018,02569
171,172,Zecheng Dou,53,-.187,-6.740,36,2018,02569
172,173,Brendan Steele,74,-.195,-10.535,54,2018,02569
173,174,Corey Conners,97,-.198,-15.640,79,2018,02569
174,175,Trey Mullinax,75,-.207,-12.199,59,2018,02569
175,176,Hudson Swafford,73,-.221,-11.474,52,2018,02569
176,177,Sung Kang,89,-.225,-15.059,67,2018,02569
177,178,Gary Woodland,96,-.228,-15.933,70,2018,02569
178,155,Bubba Watson,90,-.231,-15.689,68,2018,02569
179,179,Kevin Chappell,77,-.236,-14.659,62,2018,02569
180,180,Roberto Díaz,72,-.237,-13.245,56,2018,02569
181,181,Conrad Shindler,60,-.252,-11.107,44,2018,02569
182,182,J.J. Spaun,85,-.255,-18.120,71,2018,02569
183,183,Steve Wheatcroft,60,-.258,-11.877,46,2018,02569
184,184,Daniel Summerhays,51,-.277,-10.542,38,2018,02569
185,185,Brice Garnett,99,-.278,-22.537,81,2018,02569
186,186,Tom Lovelady,87,-.279,-19.267,69,2018,02569
187,187,Brett Stegmaier,67,-.296,-13.894,47,2018,02569
188,188,Bronson Burgoon,69,-.307,-17.472,57,2018,02569
189,189,Ethan Tracy,72,-.309,-16.708,54,2018,02569
190,190,Matt Every,79,-.314,-19.181,61,2018,02569
191,191,Andrew Yun,51,-.432,-14.690,34,2018,02569
192,192,Hunter Mahan,67,-.453,-23.108,51,2018,02569
193,194,Satoshi Kodaira,51,-.930,-37.189,40,2018,02569
